Ano;Mês;Cidade;Unidade;Regional;Fonte Pagadora;Clientes;Doses;Faturamento;Pagamento;Unidade2
2020;Jan;Anápolis;VACINAS ANAPOLIS - 7 DE SETEMBRO;ANAPOLIS;ANAPOLIS-PARTICULAR VACINAS PGTO;92;117; R$44.735,00 ;BALCÃO;ANAPOLIS - 7 DE SETEMBRO
2020;Jan;Anápolis;VACINAS ANAPOLIS - 7 DE SETEMBRO;ANAPOLIS;ANAPOLIS-VACINAS COLABORADOR PGTO;4;5; R$911,00 ;BALCÃO;ANAPOLIS - 7 DE SETEMBRO
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-ALLIANZ WORLDWIDE CARE - FAO/WFP/BFO - VACINAS;1;1; R$358,75 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-AMIL VACINAS;6;10; R$2.279,03 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-CARE PLUS VACINAS;4;8; R$2.165,80 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;44;65; R$23.809,00 ;E-COMMERCE;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;4;4; R$963,00 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;1;1; R$277,20 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;12;17; R$3.821,00 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-VACINAS MEDICO PGTO;7;7; R$2.142,00 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;124;162; R$60.890,00 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS QI 13 LAGO SUL;VACINAS DF;BSB-VACINAS TABELA 80 MAIS PGTO;1;1; R$297,00 ;BALCÃO;QI 13 LAGO SUL
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-ALLIANZ WORLDWIDE CARE - FAO/WFP/BFO - VACINAS;1;1; R$421,27 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-ALLIANZ WORLDWIDE CARE VACINAS - PGTO;2;4; R$1.818,78 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-AMIL VACINAS;4;6; R$1.433,98 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-ANABB VACINAS PGTO NO ATO;3;5; R$1.216,00 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-CARE PLUS VACINAS;4;8; R$2.250,70 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-ECOMMERCE VACINAS PGTO;95;130; R$48.762,50 ;E-COMMERCE;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-GRUPO WHATSAPP - VALDIRENE VACINAS PGTO;1;1; R$162,00 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-PARCERIAS/EMPRESAS VACINAS PGTO;25;36; R$12.735,00 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-PROGRAMA DANI RICO VACINAS PGTO;9;16; R$5.602,80 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-JK VACINAS - CORTESIA;3;3; R$576,00 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-UNAFISCO VACINAS;2;5; R$1.872,80 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-VACINAS COLABORADOR PGTO;7;8; R$2.102,00 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-VACINAS MEDICO PGTO;30;44; R$15.381,00 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-VACINAS PARTICULAR PGTO;246;330; R$120.210,00 ;BALCÃO;516 NORTE
2020;Jan;Brasília;VACINAS 516 NORTE;VACINAS DF;BSB-VACINAS TABELA 80 MAIS PGTO;1;1; R$297,00 ;BALCÃO;516 NORTE
